Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Fall under,area/location,Classified area,due to fenceless border I put them under,Alive/dead,cause of death,Area,Movement,conditions,Human presence,link
23,camappelphoto,Ecio Silver,Instagram,Winter,18/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BH_8TYEg7po/
24,inspirationaphotography,Kyle,Instagram,Autumn,20/5/2018,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BjX2jSDH-8K/
25,camappelphoto,Cameron Appel,Instagram,Spring,1/11/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging,good,,https://www.instagram.com/p/Ba8aPYdjyRb/
26,tswalu,Byron Pearce,Instagram,Spring,30/10/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,sand dunes,walking,good,,https://www.instagram.com/p/BMMb9G0g0M_/
27,tswalu,Kosie Lategan,Instagram,Summer,5/1/2017,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not bad,,https://www.instagram.com/p/BO47V0WACaC/
28,gregorclark,Gregor Clark,Instagram,Summer,8/1/2017,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not bad,,https://www.instagram.com/p/BPAzoz-DmY1/
29,ranger_gary,Gary Parker,Instagram,Winter,22/6/2016,morning,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good looks thin and skinny,,https://www.instagram.com/p/BG8ZjwfRo7T/
30,tswalu,Kosie Lategan,Instagram,Winter,22/8/2017,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"bad, looks skinny",,https://www.instagram.com/p/BYGvU0HH4Vi/
31,tswalu,Kosie Lategan,Instagram,Winter,29/8/2017,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://www.instagram.com/p/BYY3z6_n_uF/
32,okavangotours,,Instagram,Winter,5/8/2014,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,good,,https://www.instagram.com/p/rTJgCUpYzH/
33,dylan_bosman,,Instagram,Winter,7/9/2015,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,feeding,good,yes,
34,tswalu,Cameron Appel,Instagram,Spring,22/11/2017,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging and feeding,good,,https://www.instagram.com/p/BbzeAlKn5bU/
35,tswalu,Barry Peiser,Instagram,Winter,6/6/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,vegetation,walking,good,,https://www.instagram.com/p/BjsgNqUBrzK/
36,tswalu,Barry Peiser,Instagram,Winter,27/6/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,dune soil,digging,good,,https://www.instagram.com/p/BkiXbY9hxZQ/
37,tswalu,Rudi Venter,Instagram,Spring,1/11/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,"digging and feeding, ant eating chat moving around it",not bad,,https://www.instagram.com/p/BppUVL8gBug/
38,barry_pieser,Barry Peiser,Instagram,Autumn,31/5/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not bad,,https://www.instagram.com/p/Bjcq8Ponh-Z/
39,barry_pieser,Barry Peiser,Instagram,Autumn,20/4/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"bad, looks skinny",,https://www.instagram.com/p/BwfOaOlhHXp/
40,barry_pieser,Barry Peiser,Instagram,Autumn,1/5/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BwfOaOlhHXp/
41,barry_pieser,Barry Peiser,Instagram,Winter,15/7/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,dead,lion,grasses,attacked by the lion,skinny,,https://www.instagram.com/p/Bz8pYTcA6lv/
42,barry_pieser,Barry Peiser,Instagram,Winter,18/7/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,scratching itself,good,,https://www.instagram.com/p/B0DteoeA6-w/
43,tswalu,Wendy Panaino,Instagram,Winter,9/7/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,sand,walking,bad,,https://www.instagram.com/p/Bzs8rymHQU_/
44,Phil West Safaris,,Facebook,Winter,20/5/2015,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://web.facebook.com/PhilWestSafaris/photos/a.253003524811963/874815625964080
45,Adventures in Margaritaville Marlis Travels Through life,,Facebook,Winter,14/7/2013,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://web.facebook.com/AdventuresInMargaritavilleMarlisTravelsThroughLife/photos/a.335280816604315/335493299916400
46,tswalu,,Instagram,Winter,26/7/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,*cant see it clearly,yes,https://www.instagram.com/p/B0X-Y7RncE1/
47,tswalu,Barry Peiser,Instagram,Winter,15/8/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"bad, looks skinny",,https://www.instagram.com/p/B1MVdAfpHbS/
48,tswalu,Barry Peiser,Instagram,Spring,10/10/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging and feeding,not bad,,https://www.instagram.com/p/B3cUs-4H4L-/
49,tswalu,Brad,Instagram,Summer,11/12/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/B58HDIYJYVK/
50,tswalu,Barry Peiser,Instagram,Summer,26/12/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,not good,,https://www.instagram.com/p/B6iogPjJja6/
51,barbara_hartman_photos,Barbara Hartman,Instagram,Summer,19/12/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,skinny,,https://www.instagram.com/p/Brk0uvgA0CV/
52,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,29/6/2015,morning,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not bad,yes,https://www.instagram.com/p/4gDbzmreeX/
53,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,30/6/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,yes,https://www.instagram.com/p/4j8c93redi/
54,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,5/7/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/4vt5G7Lebs/
55,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,16/7/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/5NStlkreQq/
56,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,6/8/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/6C53c3reX8/
57,johan_van_zyl_photography,Johan Van Zyl,Instagram,Spring,6/10/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://www.instagram.com/p/8gNt4wLefI/
58,johan_van_zyl_photography,Johan Van Zyl,Instagram,Autumn,19/5/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BFlWKivreWz/
59,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,1/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,sand dunes,walking,good,,https://www.instagram.com/p/BHThhPbhkH0/
60,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,23/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,skinny,,https://www.instagram.com/p/BIMNXqhjJFe/
61,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,5/8/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,good,,https://www.instagram.com/p/BItuaoZDsmK/
62,johan_van_zyl_photography,Rodger Bowren,Instagram,Spring,15/9/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,feeding,skinny,yes,https://www.instagram.com/p/BKX9Xg8BDUR/
63,johan_van_zyl_photography,Johan Van Zyl,Instagram,Spring,20/9/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,feeding,good,,https://www.instagram.com/p/BKkJgSqBKD8/
64,johan_van_zyl_photography,Johan Van Zyl,Instagram,Winter,1/6/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,skinny,,https://www.instagram.com/p/BUzg2dOBspO/
65,johan_van_zyl_photography,Johan Van Zyl,Instagram,Autumn,17/3/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,skinny,,https://www.instagram.com/p/BgbLKgoAl0V/
66,b.radlove,Brad,Instagram,Spring,7/9/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not bad,,https://www.instagram.com/p/B5v6YgGgb5x/
67,bretthorleysafaris,Brett Horley,Instagram,Autumn,20/5/2016,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BFoALsXKCRD/
68,markbushlife,Mark Winckler,Instagram,Autumn,31/5/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"not good, skinny",,https://www.instagram.com/p/ByHcikNHmzZ/
69,markbushlife,Mark Winckler,Instagram,Spring,1/9/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/B12sLtpHOsO/
70,go2africa,,Instagram,Autumn,28/5/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BUo1Zb8gNOx/
71,ourafricanfootprints,,Instagram,Autumn,15/5/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,yes,https://www.instagram.com/p/BxemxIxJ7Z2/
72,tswalu,Barry Peiser,Instagram,Winter,20/6/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"very bad,skinny",,https://www.instagram.com/p/By8XucqH3y-/
73,tswalu,lategankosie,Instagram,Winter,4/6/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/ByS3I-0nvx-/
74,moses_bushman,Moses Maponya,Instagram,Winter,26/6/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging and feeding,not good,,https://www.instagram.com/p/BkeOnWbHNJS/
75,moses_bushman,Moses Maponya,Instagram,Winter,12/7/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/BlIdV2dAk0c/
76,moses_bushman,Moses Maponya,Instagram,Spring,7/9/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/BnbxBGDFXeF/
77,moses_bushman,Moses Maponya,Instagram,Winter,5/8/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/B0yyJ4vl-Yb/
78,rodgerbowren,Rodger Bowren,Instagram,Winter,22/7/2014,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/qvmOGGlA2o/
79,rodgerbowren,Rodger Bowren,Instagram,Winter,24/6/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking and digging,not bad,,https://www.instagram.com/p/4TM4T7lA3s/
80,rodgerbowren,Rodger Bowren,Instagram,Winter,4/7/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,good,,https://www.instagram.com/p/4tlTVZlA6t/
81,rodgerbowren,Rodger Bowren,Instagram,Winter,4/8/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking and feeding,good,yes,https://www.instagram.com/p/59jKwsFA9s/
82,rodgerbowren,Rodger Bowren,Instagram,Winter,3/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BHaBCaajWk-/
83,jpp9sta,JP Pollak,Instagram,Winter,24/7/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,feeding,"very bad,skinny",,https://www.instagram.com/p/B0TXp51nxY8/
84,troydon,,Instagram,Winter,28/6/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,"not good, bones are showing",,https://www.instagram.com/p/BkkZaLHAuRk/
85,lucienbeaumont,Lucien Beaumont,Instagram,Winter,21/7/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/5ZTp6kiP3q/
86,lucienbeaumont,Lucien Beaumont,Instagram,Spring,27/11/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,not good,,https://www.instagram.com/p/-lvCrNiP5o/
87,lucienbeaumont,Lucien Beaumont,Instagram,Summer,6/2/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/BBcF7VKCP7O/
88,lucienbeaumont,Lucien Beaumont,Instagram,Autumn,1/4/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,not bad,,https://www.instagram.com/p/BhBBoH6BQ4K/
89,lucienbeaumont,Lucien Beaumont,Instagram,Spring,15/9/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,"very bad,skinny with sores",,https://www.instagram.com/p/Bnu607engmE/
90,lucienbeaumont,Lucien Beaumont,Instagram,Summer,9/12/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,digging and feeding,not good,,https://www.instagram.com/p/B52iOYnAaHd/
91,Wim Voster Photography,Wim Vorster,Facebook,Autumn,17/4/2013,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,foraging,"not good, skinny",,https://web.facebook.com/WimVorsterPhotography/photos/a.10151587589214045/10151844589179045/?type=3&theater
92,Wim Voster Photography,Wim Vorster,Facebook,Autumn,9/4/2013,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,"not good, skinny",,https://web.facebook.com/WimVorsterPhotography/photos/a.10151587589214045/10151828508639045/?type=3&theater
93,Wim Voster Photography,Wim Vorster,Facebook,Autumn,1/4/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,foraging ,"not good, skinny",,https://web.facebook.com/WimVorsterPhotography/photos/a.10151587589214045/10153683206429045/?type=3&theater
94,wimvorster_photo.film.wild,Wim Vorster,Facebook,Summer,11/12/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,skinny,,https://web.facebook.com/WimVorsterPhotography/photos/a.10151587589214045/10156800992249045/?type=3&theater
95,bretthorleysafaris,,Instagram,Winter,17/7/2015,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,
96,gerardo.cg,Gerardo Ceballos,Instagram,Winter,24/8/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BYMBXrJBR2hw6sgjB1uwR2ZbuSxkUYJGHP3AT00/
97,natasha.springer78,,Instagram,Spring,9/9/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,stood up,good,,
98,Kyle de Nobrega Photography,Kyle de Nobrega,Facebook,Winter,17/8/2013,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,good,,https://web.facebook.com/503270146361779/photos/a.503295119692615/610827318939394/?type=3&theater
99,Tswalu Kalahari,Marco,Facebook,Autumn,4/3/2011,evening,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/189603294411462/?type=3&theater
100,Tswalu Kalahari,Marco,Facebook,Winter,8/6/2011,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://web.facebook.com/TswaluKalahari/photos/a.211236615581463/211237162248075/?type=3&theater
101,Tswalu Kalahari,Richard,Facebook,Winter,3/8/2011,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,walking,good,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/232997840072007/?type=3&theater
102,Tswalu Kalahari,Cameron,Facebook,Winter,25/8/2011,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/243378325700625/?type=3&theater
103,Tswalu Kalahari,Cameron Pearce,Facebook,Winter,9/6/2013,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,interaction between two individuals,good,,https://www.facebook.com/TswaluKalahariReserve/photos/a.559975474040907/559976857374102
104,Tswalu Kalahari,Ian Mey,Facebook,Summer,4/12/2012,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://web.facebook.com/TswaluKalahari/photos/a.174735242564934/473706542667801/?type=3&theater
105,kylesdream,Kyle Anthony Ansell,Instagram,Winter,3/7/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/Bzc6f7jAqFh/
106,pblewitt,Penny,Instagram,Winter,4/8/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BIrIGZcgVvl/
107,matt_naturephoto,Matt Lilley,Instagram,Spring,30/9/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/B3C_YxWhsKb/
108,matt_naturephoto,Matt Lilley,Instagram,Spring,3/10/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,running away,"not good, skinny",,https://www.instagram.com/p/B3JWSUghJ2l/
